Dataset,Model,Intrinsic_Dim,Anisotropy,PCA_Dim_95,Embedding_Size,Sample_Size
SP-500,FinCast-SP,4.0,0.9989,2,1280,73976
SP-500,CUSTOM-SP,5.28,0.951,1,18,73976
SP-500,ASTRO-SP,9.31,1.0,23,256,73976
SP-500,W2V-SP,10.63,0.8592000007629395,27,768,73976
SP-500,MOIRAI-SP,11.24,0.7477999925613403,1,384,73976
SP-500,ECGFounder-SP,12.52,0.42750000953674316,255,1024,73976
SP-500,TIMESFM-SP,14.0,0.98580002784729,61,1280,73976
SP-500,RANDOM-SP,159.93,0.7505,483,512,73976
esc-50,ASTRO-esc,1.5,0.9859,1,257,400
esc-50,MOIRAI-esc,2.03,0.9998,1,385,400
esc-50,W2V-esc,2.45,0.9981,1,769,400
esc-50,FinCast-esc,2.98,0.9835,1,1280,400
esc-50,TIMESFM-esc,3.02,0.9039,1,1281,400
esc-50,CUSTOM-esc,3.5,0.7427,1,36,400
esc-50,ECGFounder-esc,4.93,0.9955,1,1025,400
esc-50,RANDOM-esc,122.49,0.75,272,512,400
ptb-xl,CUSTOM-ptb,3.35,0.8094,2,18,2198
ptb-xl,ASTRO-ptb,5.78,0.9994000196456909,3,256,2198
ptb-xl,W2V-ptb,10.66,0.7509999871253967,12,768,2198
ptb-xl,TIMESFM-ptb,12.29,0.9987999796867371,8,1280,2198
ptb-xl,MOIRAI-ptb,13.68,0.9704999923706055,23,384,2198
ptb-xl,FinCast-ptb,14.46,0.9996,2,1280,2198
ptb-xl,ECGFounder-ptb,19.61,0.7572000026702881,203,1024,2198
ptb-xl,RANDOM-ptb,136.92,0.7495,444,512,2198
star,FinCast,4.26,0.9973,1,2561,8301
star,ASTRO,4.87,0.9963,1,513,8301
star,CUSTOM,5.62,0.7753,5,54,8301
star,TIMESFM,9.75,0.9966999888420105,10,2560,8301
star,MOIRAI,10.02,0.8379999995231628,9,768,8301
star,W2V,11.83,0.8251000046730042,53,1536,8301
star,ECGFounder,14.47,0.628000020980835,581,2048,8301
star,RANDOM,146.63,0.7509,471,512,8301
